iter	Passed	Remaining
815	1449	326
816	1450	324
817	1452	323
818	1453	321
819	1455	319
820	1456	317
821	1457	315
822	1459	313
823	1461	312
824	1463	310
825	1464	308
826	1466	306
827	1467	304
828	1469	303
829	1470	301
830	1471	299
831	1473	297
832	1474	295
833	1476	293
834	1479	292
835	1481	290
836	1482	288
837	1484	286
838	1485	285
839	1486	283
840	1488	281
841	1489	279
842	1491	277
843	1493	276
844	1495	274
845	1496	272
846	1498	270
847	1499	268
848	1501	266
849	1502	265
850	1503	263
851	1505	261
852	1506	259
853	1509	258
854	1510	256
855	1512	254
856	1513	252
857	1514	250
858	1516	248
859	1517	247
860	1519	245
861	1520	243
862	1521	241
863	1524	240
864	1526	238
865	1527	236
866	1529	234
867	1530	232
868	1531	230
869	1532	229
870	1534	227
871	1535	225
872	1536	223
873	1538	221
874	1540	220
875	1542	218
876	1543	216
877	1545	214
878	1546	212
879	1547	211
880	1548	209
881	1550	207
882	1551	205
883	1552	203
884	1555	202
885	1557	200
886	1558	198
887	1559	196
888	1561	194
889	1562	193
890	1563	191
891	1564	189
892	1566	187
893	1567	185
894	1569	184
895	1571	182
896	1572	180
897	1573	178
898	1575	176
899	1576	175
900	1577	173
901	1579	171
902	1580	169
903	1582	168
904	1583	166
905	1586	164
906	1588	162
907	1589	161
908	1590	159
909	1592	157
910	1593	155
911	1595	153
912	1596	152
913	1597	150
914	1599	148
915	1601	146
916	1603	145
917	1604	143
918	1605	141
919	1607	139
920	1608	137
921	1609	136
922	1611	134
923	1612	132
924	1613	130
925	1615	129
926	1618	127
927	1619	125
928	1620	123
929	1622	122
930	1623	120
931	1624	118
932	1626	116
933	1627	115
934	1629	113
935	1630	111
936	1632	109
937	1634	108
938	1635	106
939	1637	104
940	1638	102
941	1639	100
942	1641	99
943	1642	97
944	1644	95
945	1645	93
946	1647	92
947	1649	90
948	1650	88
949	1651	86
950	1653	85
951	1654	83
952	1656	81
953	1657	79
954	1658	78
955	1660	76
956	1662	74
957	1664	72
958	1666	71
959	1667	69
960	1668	67
961	1670	65
962	1671	64
963	1673	62
964	1674	60
965	1675	58
966	1678	57
967	1680	55
968	1681	53
969	1683	52
970	1684	50
971	1686	48
972	1687	46
973	1688	45
974	1690	43
975	1691	41
976	1694	39
977	1695	38
978	1696	36
979	1698	34
980	1699	32
981	1701	31
982	1702	29
983	1703	27
984	1705	25
985	1706	24
986	1709	22
987	1710	20
988	1712	19
989	1713	17
990	1714	15
991	1715	13
992	1717	12
993	1718	10
994	1719	8
995	1721	6
996	1723	5
997	1725	3
998	1726	1
999	1727	0
